cond,faithfulness,relevancy,correctness,citation_grounding,refused_rate,mean_claims,latency_s,n
oracle,0.9435064935064935,0.8756550585014232,0.6041666666666666,1.0,0.125,4.625,9.09875,24
strong,0.9666666666666666,0.8902084303624703,0.5416666666666666,1.0,0.20833333333333334,4.541666666666667,9.17125,24
hydeN,0.9931972789115646,0.8853360731450339,0.6041666666666666,1.0,0.20833333333333334,4.875,9.281666666666666,24
adversarial,0.8307692307692308,0.8769854721095827,0.25,1.0,0.5833333333333334,2.25,10.620833333333334,24
closed_book,0.0,0.8682984113693237,0.3958333333333333,,0.041666666666666664,6.208333333333333,8.996666666666668,24
