dataset,retriever,ctx_prec5,ctx_rec5,ctx_rec10,ndcg10
scifact,naive,0.32437499999999997,0.49124999999999996,0.6525000000000001,0.42789681039486605
scifact,hydeN,0.4539583333333333,0.6599999999999999,0.745,0.5435716578932637
scifact,prf,0.34249999999999997,0.5525,0.6275000000000001,0.42350091667845025
nfcorpus,naive,0.30425,0.1634885858613253,0.2058066709230406,0.36236282307402107
nfcorpus,hydeN,0.33108333333333334,0.18608523746505817,0.22126631056018314,0.392925466107677
nfcorpus,prf,0.31816666666666665,0.17009102327898012,0.2035246431316562,0.3651065381516322
fiqa,naive,0.23445833333333335,0.3181051587301587,0.41716269841269843,0.3376646844412469
fiqa,hydeN,0.2748333333333333,0.3941468253968254,0.4583829365079365,0.3779301037139827
fiqa,prf,0.23681944444444442,0.30500992063492066,0.41646825396825393,0.3385456121306583
