N,Flat,IVF,HNSW
1000,0.05931249324930832,0.014292003470472991,0.0530205070390366
2000,0.11445849668234587,0.02481200499460101,0.06787499296478927
5000,0.2859164960682392,0.056166492868214846,0.09279199730372056
10000,0.29127099696779624,0.11129149788757786,0.12227050319779664
20000,0.7503330052713864,0.22045800142223015,0.1654579973546788
40000,1.4560829949914478,0.4985215055057779,0.20858350035268813
66454,2.3902914981590584,0.7731250007054769,0.22585449914913625
