first_stage,pre_ndcg10,pre_r100,post_ndcg10,d_ndcg
BM25,0.21750918169781622,0.47521248898563717,0.3171807536369474,0.0996715719391312
E5 (dense),0.3986663557596119,0.732044310285051,0.38618456017797675,-0.012481795581635147
Hybrid RRF,0.35537609248460594,0.7067454664676888,0.37092432331616604,0.015548230831560095
