dataset,naive,hydeN,prf,best_single,oracle_router,headroom
scifact,0.42789681039486605,0.5435716578932637,0.42350091667845025,0.5435716578932637,0.5706221799725105,0.027050522079246853
nfcorpus,0.36236282307402107,0.392925466107677,0.3651065381516322,0.392925466107677,0.4182207188391522,0.025295252731475204
fiqa,0.3376646844412469,0.3779301037139827,0.3385456121306583,0.3779301037139827,0.42402055944582406,0.04609045573184134
