reranker,ndcg10,mrr10,recall5,lat_ms,cost_per_1k,parse_ok
Oracle@10 (ceiling),0.8078775373687009,1.0,0.7371428571428572,0.0,0.0,1.0
GPT-5.x-codex,0.7202945574500944,0.8861111111111111,0.7015079365079365,15154.255390167236,50.0,1.0
MiniLM-L6 (22M),0.6807269064094877,0.8166666666666667,0.6142857142857143,49.255235989888504,0.001,1.0
Claude-Haiku,0.6683613617319168,0.7909259259259258,0.6456349206349207,22443.17066669464,1.35,1.0
E5 (no rerank),0.6506291727672229,0.7897222222222221,0.6148412698412699,2.08,0.0,1.0
Claude-Opus,0.6443292243507098,0.732037037037037,0.6198412698412699,7174.536466598511,20.2,1.0
